DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,136,25,-9,2920111304,23,-6,-27,4285610378,AQI
2025-03-16 20:52:51-07:00,14.19,180.45500000000004,9.855,7.728000000000001,32.292,406.5,13.8,45.3,0.0,0.57,0.68,42.0,0.0,3.0,,,,,,6.9144000000000005
2025-03-16 20:53:51-07:00,14.14,183.96400000000003,9.485999999999999,6.9195,34.872,406.18,13.8,45.3,0.0,0.31,0.35,44.0,0.0,3.0,,,,,,7.2224
2025-03-16 20:54:51-07:00,14.11,186.89000000000001,9.882000000000001,7.854000000000001,34.391999999999996,406.71,13.7,45.3,0.0,0.35,0.36,43.0,0.0,3.0,,,,,,7.158399999999999
2025-03-16 20:55:51-07:00,14.05,188.18800000000002,9.387,6.016500000000001,34.547999999999995,406.9,13.6,44.5,0.0,0.5,0.77,44.0,0.0,2.0,,,,,,7.3096
2025-03-16 20:56:51-07:00,14.02,187.33000000000004,9.414000000000001,7.6335,33.336,406.96,13.6,44.7,0.0,0.7,0.87,44.0,0.0,2.0,,,,,,7.2272
2025-03-16 20:57:51-07:00,13.98,188.81500000000003,9.297,8.2005,32.315999999999995,406.99,13.5,44.6,0.0,0.8,0.86,44.0,0.0,1.0,,,,,,7.103199999999999
2025-03-16 20:58:52-07:00,13.94,183.90900000000002,8.829,8.2425,32.628,407.0,13.4,45.3,0.0,0.58,0.6,44.0,0.0,1.0,,,,,,6.989600000000001
2025-03-16 20:59:52-07:00,13.92,181.06,8.784,10.804499999999999,29.483999999999998,407.0,13.4,45.8,0.0,0.6,0.72,44.0,0.0,0.0,,,,,,6.376799999999999
2025-03-16 21:00:52-07:00,13.9,180.961,8.946,10.647,28.92,407.0,13.4,45.8,0.0,0.4,0.45,44.0,0.0,0.0,,,,,,6.104000000000001
2025-03-16 21:01:52-07:00,13.87,185.58100000000002,9.261,11.2665,28.968,407.0,13.5,46.3,0.0,0.65,0.67,44.0,-1.0,0.0,,,,,,6.313600000000001
2025-03-16 21:02:52-07:00,13.84,185.735,8.604000000000001,11.025,28.008,407.0,13.4,46.1,0.07,0.62,0.63,45.0,0.0,0.0,,,,,,6.0976
2025-03-16 21:03:52-07:00,13.82,190.35500000000002,9.342,10.6785,28.812,407.0,13.4,46.1,0.02,0.79,0.79,44.0,0.0,1.0,,,,,,6.394400000000001
2025-03-16 21:04:52-07:00,13.81,191.43300000000002,9.567,10.416,29.16,407.0,13.4,46.0,0.01,0.75,0.75,43.0,0.0,1.0,,,,,,6.432
2025-03-16 21:05:53-07:00,13.77,192.86300000000003,8.892000000000001,8.8515,30.144,407.23,13.3,45.7,0.0,0.45,0.45,44.0,0.0,1.0,,,,,,6.388800000000001
2025-03-16 21:06:53-07:00,13.74,186.92300000000003,9.531,9.870000000000001,29.616,407.4,13.3,45.9,0.0,0.15,0.15,43.0,0.0,2.0,,,,,,6.043200000000001
2025-03-16 21:07:53-07:00,13.72,196.306,8.676,10.1745,29.352,407.14,13.3,46.4,0.0,0.16,0.16,44.0,0.0,1.0,,,,,,5.9984
2025-03-16 21:08:53-07:00,13.71,196.55900000000003,9.027,10.605,28.272,407.05,13.3,46.5,0.0,0.48,0.74,45.0,0.0,0.0,,,,,,6.0384
2025-03-16 21:09:53-07:00,13.68,194.282,9.126000000000001,12.7155,26.58,407.02,13.3,47.3,0.0,0.25,0.34,45.0,0.0,0.0,,,,,,5.516
2025-03-16 21:10:53-07:00,13.64,195.03000000000003,8.739,12.0855,27.3,407.01,13.3,47.0,0.0,0.4,0.52,45.0,0.0,1.0,,,,,,5.780000000000001
2025-03-16 21:11:53-07:00,13.63,189.97,8.766,12.201,26.208,407.0,13.4,47.4,0.0,0.67,0.71,45.0,0.0,0.0,,,,,,5.7776
2025-03-16 21:12:53-07:00,13.63,194.97500000000002,8.613000000000001,11.3295,27.528000000000002,407.0,13.4,47.1,0.0,0.41,0.42,46.0,0.0,0.0,,,,,,5.8336000000000015
2025-03-16 21:13:53-07:00,13.63,190.69600000000003,9.324,10.395000000000001,27.695999999999998,407.0,13.4,46.6,0.0,0.96,0.97,45.0,0.0,0.0,,,,,,6.3072
2025-03-16 21:14:54-07:00,13.62,188.08900000000003,9.063,9.0615,30.131999999999998,407.0,13.3,46.5,0.16,0.87,1.09,45.0,0.0,1.0,,,,,,6.7223999999999995
2025-03-16 21:15:54-07:00,13.61,185.79000000000002,9.297,8.2215,31.536,407.0,13.2,46.5,0.05,0.72,0.93,44.0,0.0,1.0,,,,,,6.8832
2025-03-16 21:16:54-07:00,13.58,186.51600000000002,8.928,10.8465,28.74,407.0,13.2,47.5,0.02,0.71,1.02,43.0,0.0,1.0,,,,,,6.316
2025-03-16 21:17:54-07:00,13.55,187.51700000000002,8.487,11.4975,27.912000000000003,407.0,13.2,47.7,0.01,0.6,0.97,43.0,0.0,0.0,,,,,,6.0624
2025-03-16 21:18:55-07:00,13.53,191.983,8.478,12.116999999999999,29.4,407.0,13.2,48.2,0.0,0.76,1.02,43.0,0.0,1.0,,,,,,6.4879999999999995
2025-03-16 21:19:55-07:00,13.52,191.04800000000003,8.370000000000001,12.6945,28.92,406.92,13.2,48.6,0.36,1.09,1.3,44.0,0.0,1.0,,,,,,6.656000000000001
2025-03-16 21:20:55-07:00,13.53,195.34900000000002,9.315,11.13,28.523999999999997,406.47,13.3,48.1,0.12,1.13,1.2,44.0,0.0,1.0,,,,,,6.6088
2025-03-16 21:21:55-07:00,13.52,195.27200000000002,9.216000000000001,8.8515,29.795999999999996,406.33,13.2,46.8,0.04,0.84,0.86,45.0,-1.0,1.0,,,,,,6.631199999999999
2025-03-16 21:22:55-07:00,13.51,192.36800000000002,9.243,9.786000000000001,30.179999999999996,406.12,13.1,47.3,0.01,0.83,0.84,44.0,0.0,1.0,,,,,,6.699999999999999
2025-03-16 21:23:55-07:00,13.48,195.83300000000003,9.81,10.6785,28.715999999999998,406.08,13.1,47.4,0.0,0.62,0.62,43.0,0.0,1.0,,,,,,6.2392
2025-03-16 21:24:57-07:00,13.45,187.75900000000001,9.369,10.731000000000002,27.863999999999997,406.03,13.1,47.0,0.0,0.58,0.58,44.0,0.0,0.0,,,,,,6.0367999999999995
2025-03-16 21:25:57-07:00,13.43,186.72500000000002,8.82,11.109,29.855999999999998,406.01,13.1,47.2,0.0,0.52,0.52,45.0,0.0,1.0,,,,,,6.3872
2025-03-16 21:26:57-07:00,13.43,187.627,8.532,11.655,28.752,406.0,13.2,47.8,0.08,0.8,0.8,44.0,0.0,0.0,,,,,,6.3904
2025-03-16 21:27:57-07:00,13.42,191.63100000000003,9.531,11.739,27.24,406.0,13.2,47.8,0.27,1.35,1.35,43.0,0.0,0.0,,,,,,6.5280000000000005
2025-03-16 21:28:57-07:00,13.42,192.126,9.18,12.453,25.704,406.0,13.2,48.2,0.08,1.16,1.16,43.0,0.0,0.0,,,,,,6.0688
2025-03-16 21:29:53-07:00,13.42,185.702,8.325000000000001,10.815000000000001,25.776,406.0,13.2,47.4,0.03,0.69,0.69,45.0,0.0,0.0,,,,,,5.7072
2025-03-16 21:30:53-07:00,13.41,184.34900000000002,8.577,9.2715,29.976,406.0,13.2,47.5,0.01,0.23,0.23,43.0,0.0,1.0,,,,,,6.179200000000001
2025-03-16 21:31:54-07:00,13.39,180.93900000000002,8.874,9.1035,31.512,406.0,13.1,47.8,0.0,0.25,0.42,42.0,0.0,2.0,,,,,,6.502400000000001
2025-03-16 21:32:54-07:00,13.35,182.237,9.485999999999999,10.1745,32.471999999999994,406.0,13.1,48.0,0.0,0.35,0.4,42.0,0.0,3.0,,,,,,6.774399999999999
2025-03-16 21:33:54-07:00,13.33,183.24900000000002,8.667000000000002,10.584000000000001,31.116,406.0,13.1,48.4,0.0,0.11,0.13,43.0,0.0,2.0,,,,,,6.3112
2025-03-16 21:34:54-07:00,13.31,185.383,9.198,10.2375,30.779999999999998,406.0,13.1,47.9,0.0,0.22,0.23,44.0,0.0,2.0,,,,,,6.332
2025-03-16 21:35:54-07:00,13.26,191.961,8.973,10.248,29.531999999999996,406.0,13.0,47.6,0.0,0.26,0.26,42.0,0.0,1.0,,,,,,6.1144
2025-03-16 21:36:54-07:00,13.24,181.984,9.639000000000001,10.993500000000001,29.652,406.0,13.0,48.2,0.0,0.66,0.66,40.0,0.0,1.0,,,,,,6.458400000000001
2025-03-16 21:37:54-07:00,13.18,186.637,8.874,10.479000000000001,30.084,406.0,12.9,47.7,0.47,1.13,1.13,42.0,0.0,1.0,,,,,,6.9208
2025-03-16 21:38:54-07:00,13.14,188.18800000000002,9.027,8.788499999999999,32.471999999999994,406.0,12.8,48.1,0.16,0.53,0.57,41.0,0.0,1.0,,,,,,6.918399999999999
2025-03-16 21:39:55-07:00,13.08,186.769,8.28,11.098500000000001,31.295999999999996,406.0,12.8,48.4,0.06,0.65,0.66,42.0,0.0,3.0,,,,,,6.7791999999999994
2025-03-16 21:40:55-07:00,13.04,188.276,9.225,11.518500000000001,29.124,406.0,12.7,49.1,0.02,0.57,0.73,40.0,0.0,1.0,,,,,,6.280799999999999
2025-03-16 21:41:55-07:00,12.97,192.56600000000003,9.585,10.059000000000001,29.928,406.0,12.7,48.9,0.12,0.74,0.88,39.0,0.0,1.0,,,,,,6.5776
2025-03-16 21:42:56-07:00,12.94,185.86700000000002,8.478,10.573500000000001,30.455999999999996,406.0,12.6,49.4,0.04,1.0,1.19,41.0,0.0,2.0,,,,,,6.8911999999999995
2025-03-16 21:43:56-07:00,12.87,193.46800000000002,8.757000000000001,10.804499999999999,31.236,406.0,12.5,49.6,0.01,0.92,0.99,40.0,0.0,2.0,,,,,,6.9832
2025-03-16 21:44:56-07:00,12.82,209.495,8.370000000000001,10.7835,31.979999999999997,406.0,12.4,49.9,0.0,0.75,0.81,41.0,0.0,2.0,,,,,,6.996
2025-03-16 21:45:56-07:00,12.76,195.27200000000002,8.360999999999999,10.227,31.5,406.0,12.4,50.1,0.0,0.83,0.85,41.0,1.0,2.0,,,,,,6.964
2025-03-16 21:46:56-07:00,12.7,190.377,8.019,11.707500000000001,29.291999999999998,405.46,12.4,50.3,0.0,0.77,1.01,41.0,1.0,1.0,,,,,,6.474399999999999
2025-03-16 21:47:56-07:00,12.65,187.91300000000004,8.424,13.020000000000001,27.576,405.16,12.3,50.4,0.11,0.86,0.95,41.0,0.0,1.0,,,,,,6.2032
2025-03-16 21:48:56-07:00,12.6,193.16,9.144,11.3295,30.24,405.06,12.3,50.5,0.04,0.68,0.71,40.0,0.0,2.0,,,,,,6.5920000000000005
2025-03-16 21:49:56-07:00,12.55,190.751,9.558,9.911999999999999,33.54,405.02,12.2,50.7,0.01,0.35,0.67,38.0,0.0,3.0,,,,,,6.988
2025-03-16 21:50:58-07:00,12.49,188.661,8.694,11.193000000000001,30.828,404.65,12.2,51.0,0.0,0.37,0.48,39.0,1.0,2.0,,,,,,6.461600000000001
2025-03-16 21:51:58-07:00,12.45,191.587,9.477,11.591999999999999,31.368,404.23,12.2,51.1,0.0,0.56,0.69,37.0,1.0,2.0,,,,,,6.7216000000000005
2025-03-16 21:52:58-07:00,12.38,187.60500000000002,8.325000000000001,12.0855,30.995999999999995,404.08,12.1,51.3,0.0,0.25,0.67,39.0,0.0,2.0,,,,,,6.3991999999999996
2025-03-16 21:53:58-07:00,12.34,192.115,8.577,12.3795,31.944,404.03,12.1,51.5,0.0,0.61,0.79,39.0,0.0,3.0,,,,,,6.876799999999999
2025-03-16 21:54:58-07:00,12.28,191.719,8.631,12.725999999999999,31.212,404.01,12.1,51.7,0.0,0.3,0.4,39.0,0.0,2.0,,,,,,6.4824
2025-03-16 21:55:59-07:00,12.24,214.258,9.018,12.2535,32.016,404.0,12.1,52.1,0.0,0.52,0.55,38.0,0.0,2.0,,,,,,6.8192
2025-03-16 21:57:00-07:00,12.18,211.31,9.864,11.004000000000001,30.107999999999997,404.0,12.0,52.2,0.0,0.19,0.2,36.0,0.0,1.0,,,,,,6.1735999999999995
2025-03-16 21:58:00-07:00,12.13,188.30900000000003,8.973,11.6865,30.24,404.0,12.0,52.4,0.0,0.11,0.22,37.0,0.0,2.0,,,,,,6.136
2025-03-16 21:59:00-07:00,12.07,184.30500000000004,9.684,11.8125,32.544,403.92,11.9,52.3,0.0,0.07,0.38,37.0,0.0,3.0,,,,,,6.5648
2025-03-16 22:00:00-07:00,12.02,190.08000000000004,8.541,11.5815,32.844,403.82,11.9,52.4,0.0,0.27,0.4,38.0,0.0,2.0,,,,,,6.784800000000001
2025-03-16 22:01:01-07:00,11.97,186.56,8.946,11.770500000000002,32.412,403.78,11.9,52.6,0.0,0.6,0.65,37.0,0.0,2.0,,,,,,6.962400000000001
2025-03-16 22:02:01-07:00,11.91,188.69400000000002,9.468,12.652500000000002,31.763999999999996,403.92,11.8,53.0,0.0,0.2,0.22,37.0,0.0,2.0,,,,,,6.5127999999999995
2025-03-16 22:03:01-07:00,11.86,198.58300000000003,8.937,12.327,32.964,403.97,11.8,53.7,0.0,0.31,0.4,36.0,0.0,3.0,,,,,,6.840800000000001
2025-03-16 22:04:01-07:00,11.81,200.376,9.873000000000001,14.28,32.544,403.99,11.8,53.7,0.0,0.2,0.28,35.0,0.0,3.0,,,,,,6.6688
2025-03-16 22:05:01-07:00,11.77,201.66300000000004,10.215,14.007,31.464,404.0,11.7,53.7,0.0,0.37,0.46,34.0,0.0,2.0,,,,,,6.5888
2025-03-16 22:06:01-07:00,11.73,196.86700000000002,8.658,14.406,31.848,404.0,11.7,54.0,0.0,0.45,0.48,37.0,0.0,3.0,,,,,,6.7296000000000005
2025-03-16 22:07:01-07:00,11.68,193.72100000000003,9.054,13.629000000000001,31.871999999999996,404.0,11.7,53.8,0.0,0.63,1.13,37.0,0.0,3.0,,,,,,6.878399999999999
2025-03-16 22:08:02-07:00,11.66,185.93300000000002,8.82,13.713000000000001,31.284,404.0,11.8,54.4,0.0,0.21,0.46,37.0,0.0,3.0,,,,,,6.4248
2025-03-16 22:08:57-07:00,11.64,190.08000000000004,9.324,13.482000000000001,30.66,403.89,11.7,54.0,0.0,0.48,0.57,35.0,0.0,2.0,,,,,,6.516000000000001
2025-03-16 22:09:57-07:00,11.61,190.65200000000002,9.747,13.23,30.287999999999997,403.5,11.8,54.1,0.0,0.23,0.43,35.0,0.0,2.0,,,,,,6.2416
2025-03-16 22:10:57-07:00,11.57,191.19100000000003,10.08,14.1645,30.552,403.18,11.8,54.0,0.0,0.69,0.76,34.0,0.0,2.0,,,,,,6.6624
2025-03-16 22:11:57-07:00,11.56,191.752,9.693,13.5135,31.74,403.06,11.8,54.2,0.0,0.61,0.88,34.0,0.0,3.0,,,,,,6.836
2025-03-16 22:12:57-07:00,11.55,190.20100000000002,8.091000000000001,14.185500000000001,31.439999999999998,403.02,11.8,55.1,0.0,0.19,0.42,36.0,0.0,2.0,,,,,,6.44
2025-03-16 22:13:57-07:00,11.54,189.61800000000002,9.270000000000001,14.427000000000001,31.415999999999997,403.01,11.8,54.9,0.0,0.45,0.53,35.0,0.0,2.0,,,,,,6.6432
2025-03-16 22:14:57-07:00,11.53,193.83100000000002,8.352,15.739500000000001,30.407999999999998,403.0,11.8,55.0,0.0,0.65,0.68,36.0,0.0,2.0,,,,,,6.6015999999999995
2025-03-16 22:15:59-07:00,11.53,192.929,9.251999999999999,16.548000000000002,30.491999999999997,403.54,11.9,55.6,0.0,0.26,0.27,36.0,0.0,2.0,,,,,,6.3064
2025-03-16 22:16:59-07:00,11.53,198.869,9.405,15.403500000000001,31.979999999999997,403.84,11.9,55.4,0.0,0.86,0.86,35.0,0.0,2.0,,,,,,7.084
2025-03-16 22:17:59-07:00,11.53,199.10000000000002,9.0,15.4245,30.012,403.94,11.9,55.2,0.0,0.38,0.38,36.0,0.0,2.0,,,,,,6.306400000000001
2025-03-16 22:18:59-07:00,11.53,191.01500000000001,9.360000000000001,14.952000000000002,29.567999999999998,403.98,12.0,55.4,0.06,0.8,0.8,35.0,0.0,1.0,,,,,,6.553599999999999
2025-03-16 22:19:59-07:00,11.53,197.85700000000003,10.044,14.217,30.683999999999997,403.99,12.0,55.0,0.02,0.72,0.72,34.0,0.0,2.0,,,,,,6.7128
2025-03-16 22:21:00-07:00,11.53,197.43900000000002,9.297,14.2905,28.092,404.0,12.0,55.1,0.01,1.05,1.13,36.0,0.0,1.0,,,,,,6.4584
2025-03-16 22:22:01-07:00,11.53,195.33800000000002,8.613000000000001,14.185500000000001,28.284,404.0,12.0,54.9,0.0,0.97,1.09,37.0,0.0,1.0,,,,,,6.4328
2025-03-16 22:23:01-07:00,11.52,189.244,9.72,13.786500000000002,30.587999999999997,404.0,11.9,54.7,0.0,0.69,0.73,36.0,0.0,2.0,,,,,,6.669599999999999
2025-03-16 22:24:01-07:00,11.52,191.268,8.469000000000001,13.461,31.92,403.71,12.0,55.1,0.0,0.64,0.88,37.0,0.0,1.0,,,,,,6.896000000000001
2025-03-16 22:25:01-07:00,11.53,186.72500000000002,8.757000000000001,14.07,31.512,403.25,12.0,55.0,0.08,0.57,0.65,37.0,0.0,1.0,,,,,,6.7584
2025-03-16 22:26:02-07:00,11.53,192.36800000000002,9.315,15.214500000000001,29.663999999999998,403.09,12.1,55.1,0.03,0.18,0.21,35.0,-1.0,1.0,,,,,,6.0768
2025-03-16 22:27:02-07:00,11.54,191.07,8.487,16.695,27.336000000000002,403.32,12.2,55.7,0.01,0.09,0.1,36.0,0.0,0.0,,,,,,5.539200000000001
2025-03-16 22:28:02-07:00,11.55,190.63000000000002,7.803,16.642500000000002,26.255999999999997,403.76,12.2,55.3,0.0,0.09,0.09,38.0,-1.0,0.0,,,,,,5.3232
2025-03-16 22:29:02-07:00,11.6,194.18300000000002,8.46,15.3405,27.407999999999998,403.92,12.2,55.0,0.0,0.03,0.03,37.0,-1.0,0.0,,,,,,5.5056
2025-03-16 22:30:03-07:00,11.63,191.77400000000003,8.469000000000001,14.07,28.692,403.97,12.3,55.0,0.0,0.14,0.14,38.0,0.0,0.0,,,,,,5.8504000000000005
2025-03-16 22:31:03-07:00,11.68,193.66600000000003,8.802,14.647499999999999,28.188,403.99,12.4,54.7,0.0,0.69,0.82,37.0,0.0,0.0,,,,,,6.1895999999999995
2025-03-16 22:32:03-07:00,11.72,198.418,8.685,13.6605,29.316,404.0,12.4,54.0,0.0,0.27,0.4,37.0,-1.0,0.0,,,,,,6.0792
2025-03-16 22:33:03-07:00,11.79,201.64100000000002,9.477,13.450500000000002,28.428,404.0,12.5,53.8,0.0,0.51,0.65,36.0,-1.0,0.0,,,,,,6.093600000000001
2025-03-16 22:34:03-07:00,11.82,197.38400000000001,9.603,13.104000000000001,27.336000000000002,403.59,12.5,53.2,0.0,0.4,0.54,35.0,-1.0,0.0,,,,,,5.787200000000001
2025-03-16 22:34:59-07:00,11.84,190.311,9.360000000000001,11.791500000000001,28.295999999999996,403.23,12.5,52.8,0.0,0.15,0.2,36.0,0.0,0.0,,,,,,5.7791999999999994
2025-03-16 22:35:59-07:00,11.84,184.31600000000003,9.657,10.185,31.523999999999997,403.08,12.5,52.7,0.0,0.1,0.39,37.0,0.0,1.0,,,,,,6.3848
2025-03-16 22:37:01-07:00,11.84,184.36,9.036,12.264,31.536,403.03,12.5,53.0,0.0,0.16,0.26,36.0,0.0,1.0,,,,,,6.435200000000001
2025-03-16 22:38:01-07:00,11.85,189.84900000000002,9.675,12.159,31.955999999999996,403.01,12.5,52.3,0.0,0.05,0.08,36.0,-1.0,1.0,,,,,,6.4312
2025-03-16 22:39:01-07:00,11.84,188.76000000000002,9.378,13.125,30.432,403.0,12.5,52.3,0.0,0.02,0.03,36.0,0.0,1.0,,,,,,6.1024
2025-03-16 22:40:01-07:00,11.84,187.23100000000002,9.441,12.4635,29.063999999999997,403.5,12.4,52.0,0.0,0.01,0.01,36.0,0.0,0.0,,,,,,5.820799999999999
2025-03-16 22:41:01-07:00,11.84,183.13900000000004,9.405,12.684000000000001,29.616,403.37,12.4,52.3,0.0,0.45,0.45,36.0,0.0,0.0,,,,,,6.283200000000001
2025-03-16 22:42:01-07:00,11.83,179.14600000000004,9.648000000000001,14.469,27.599999999999998,403.29,12.4,53.0,0.0,0.14,0.14,35.0,0.0,0.0,,,,,,5.632
2025-03-16 22:43:01-07:00,11.83,189.376,8.784,14.112,27.576,403.75,12.4,52.0,0.0,0.11,0.28,37.0,0.0,0.0,,,,,,5.6032
2025-03-16 22:44:01-07:00,11.83,188.837,8.82,14.647499999999999,26.712,403.91,12.4,51.9,0.0,0.39,0.45,38.0,0.0,0.0,,,,,,5.654400000000001
2025-03-16 22:45:02-07:00,11.83,192.544,9.441,14.952000000000002,25.247999999999998,403.97,12.4,52.0,0.0,0.37,0.39,36.0,0.0,0.0,,,,,,5.3456
2025-03-16 22:46:02-07:00,11.82,188.87,9.342,12.5265,27.287999999999997,403.99,12.4,51.7,0.0,0.67,0.68,37.0,0.0,0.0,,,,,,5.993599999999999
2025-03-16 22:47:02-07:00,11.82,185.251,9.054,11.613000000000001,29.352,404.0,12.4,51.9,0.0,0.77,0.77,37.0,0.0,0.0,,,,,,6.4864
2025-03-16 22:48:02-07:00,11.82,175.934,9.360000000000001,12.116999999999999,29.471999999999998,403.42,12.4,52.1,0.0,0.62,0.62,35.0,0.0,1.0,,,,,,6.3904
2025-03-16 22:49:02-07:00,11.78,186.13100000000003,9.702,13.387500000000001,29.316,403.15,12.4,52.7,0.0,0.49,0.49,34.0,0.0,1.0,,,,,,6.2552
2025-03-16 22:50:02-07:00,11.76,184.56900000000002,10.512,12.621,28.776,403.05,12.4,52.1,0.0,0.37,0.62,34.0,-1.0,1.0,,,,,,6.051200000000001
2025-03-16 22:51:03-07:00,11.75,187.286,9.801,12.915000000000001,28.932,403.02,12.4,51.7,0.0,0.72,0.9,35.0,0.0,0.0,,,,,,6.3624
2025-03-16 22:52:04-07:00,11.75,185.372,10.323,13.902000000000001,27.708,403.01,12.3,51.8,0.0,0.32,0.38,35.0,0.0,1.0,,,,,,5.7976
2025-03-16 22:53:04-07:00,11.75,186.06500000000003,10.512,12.138000000000002,28.355999999999998,403.0,12.3,51.6,0.05,0.44,0.5,34.0,0.0,0.0,,,,,,6.0232
2025-03-16 22:54:04-07:00,11.74,180.961,10.539000000000001,12.621,27.804000000000002,403.0,12.3,51.7,0.02,0.8,0.82,35.0,0.0,0.0,,,,,,6.200800000000001
2025-03-16 22:55:04-07:00,11.74,188.32,10.494,13.576500000000001,28.092,403.0,12.3,52.1,0.01,0.31,0.31,35.0,0.0,0.0,,,,,,5.8664000000000005
2025-03-16 22:56:04-07:00,11.74,194.293,8.766,15.6765,26.616,403.0,12.4,52.3,0.31,0.51,0.52,38.0,-1.0,0.0,,,,,,5.7312
2025-03-16 22:57:03-07:00,11.78,200.32100000000003,8.757000000000001,15.246,24.168,403.0,12.5,51.9,0.12,0.19,0.44,38.0,0.0,-1.0,,,,,,4.985600000000001
2025-03-16 22:58:03-07:00,11.81,195.811,9.378,12.9675,26.736,403.07,12.6,51.7,0.04,0.66,0.75,36.0,-1.0,0.0,,,,,,5.875200000000001
2025-03-16 22:59:03-07:00,11.83,189.68400000000003,8.838000000000001,11.718,26.892,403.03,12.6,51.5,0.01,0.28,0.46,37.0,0.0,0.0,,,,,,5.6024
2025-03-16 23:00:04-07:00,11.84,217.05200000000002,8.991,12.411000000000001,28.487999999999996,403.01,12.6,51.6,0.0,0.3,0.36,37.0,0.0,0.0,,,,,,5.9376
2025-03-16 23:01:04-07:00,11.89,206.668,9.549,12.348,30.348,403.0,12.7,51.5,0.0,0.1,0.12,35.0,0.0,0.0,,,,,,6.1496
2025-03-16 23:02:04-07:00,11.92,200.15600000000003,8.748000000000001,13.3245,29.268,403.0,12.8,51.4,0.0,0.13,0.34,37.0,0.0,0.0,,,,,,5.9576
2025-03-16 23:03:04-07:00,11.95,194.44700000000003,9.225,14.794500000000001,27.287999999999997,403.0,12.9,51.2,0.0,0.39,0.72,36.0,0.0,0.0,,,,,,5.7696
2025-03-16 23:04:04-07:00,12.0,188.91400000000002,9.251999999999999,15.361500000000001,26.628,403.0,12.9,51.4,0.0,0.21,0.39,37.0,-1.0,0.0,,,,,,5.493600000000001
2025-03-16 23:05:04-07:00,12.04,191.675,9.756,15.519,25.656,403.62,13.0,50.9,0.0,0.52,0.76,36.0,-1.0,0.0,,,,,,5.5472
2025-03-16 23:06:05-07:00,12.1,192.21400000000003,10.224,13.387500000000001,27.791999999999998,403.57,13.1,50.2,0.0,0.53,0.71,38.0,-1.0,0.0,,,,,,5.9824
2025-03-16 23:07:06-07:00,12.13,191.092,10.008,12.516,26.171999999999997,403.2,13.2,49.4,0.0,0.3,0.36,38.0,-1.0,-1.0,,,,,,5.4744
2025-03-16 23:08:02-07:00,12.19,184.34900000000002,9.765,12.8625,27.732,403.08,13.2,49.1,0.0,0.63,0.65,38.0,-1.0,0.0,,,,,,6.0504
2025-03-16 23:09:02-07:00,12.22,185.449,10.071,11.634,28.86,403.06,13.2,48.9,0.0,0.65,0.9,37.0,0.0,0.0,,,,,,6.292
2025-03-16 23:10:02-07:00,12.23,185.61400000000003,9.198,10.815000000000001,30.348,403.18,13.2,48.8,0.0,0.45,0.53,39.0,-2.0,0.0,,,,,,6.429600000000001
2025-03-16 23:11:02-07:00,12.24,184.05200000000002,9.855,11.529000000000002,30.312,403.71,13.1,49.3,0.0,0.63,0.85,37.0,-1.0,0.0,,,,,,6.5664
2025-03-16 23:12:02-07:00,12.24,177.859,9.450000000000001,12.6735,28.464,403.9,13.1,49.8,0.0,0.42,0.61,38.0,-1.0,0.0,,,,,,6.0288
2025-03-16 23:13:03-07:00,12.27,180.70800000000003,9.09,13.534500000000001,27.407999999999998,404.19,13.1,50.2,0.0,0.44,0.51,39.0,0.0,0.0,,,,,,5.833600000000001
2025-03-16 23:14:03-07:00,12.3,183.77700000000002,8.775,14.521500000000001,25.656,404.07,13.1,50.5,0.0,0.45,0.68,40.0,0.0,0.0,,,,,,5.4912
2025-03-16 23:15:03-07:00,12.32,188.386,9.360000000000001,13.4715,26.171999999999997,404.02,13.1,50.0,0.0,0.87,0.94,39.0,-1.0,-1.0,,,,,,5.9304
2025-03-16 23:16:03-07:00,12.34,186.29600000000002,9.369,13.272000000000002,27.095999999999997,404.01,13.1,49.8,0.0,0.87,0.9,38.0,-1.0,0.0,,,,,,6.1152
2025-03-16 23:17:03-07:00,12.34,183.865,8.982000000000001,12.725999999999999,27.432,404.0,13.2,49.9,0.0,0.52,0.66,38.0,-1.0,0.0,,,,,,5.9024
2025-03-16 23:18:02-07:00,12.39,188.848,8.73,12.495000000000001,27.96,404.0,13.2,49.6,0.0,0.67,0.85,39.0,0.0,0.0,,,,,,6.128
2025-03-16 23:19:02-07:00,12.41,190.894,9.099,11.2035,28.631999999999998,404.0,13.3,49.6,0.0,0.25,0.41,40.0,0.0,0.0,,,,,,5.9264
2025-03-16 23:20:02-07:00,12.42,188.859,9.882000000000001,9.5235,28.715999999999998,404.0,13.2,49.2,0.0,0.43,0.48,37.0,0.0,0.0,,,,,,6.0872
2025-03-16 23:21:03-07:00,12.43,190.52,9.801,10.615499999999999,29.028,404.0,13.3,49.0,0.0,0.14,0.16,37.0,0.0,0.0,,,,,,5.9176
2025-03-16 23:22:03-07:00,12.44,188.936,8.622,11.896500000000001,28.871999999999996,404.0,13.3,49.2,0.1,0.37,0.37,38.0,0.0,0.0,,,,,,6.0704
2025-03-16 23:23:04-07:00,12.44,185.42700000000002,8.352,12.873000000000001,27.563999999999997,404.0,13.4,49.0,0.03,0.5,0.51,40.0,0.0,0.0,,,,,,5.9128
