co,co2,geo,met,model,no,no2,o3,pm1,pm10,pm25,raw_data_id,rh,sn,temp,timestamp,timestamp_local,url
440.67,629.87,"{'lat': None, 'lon': None}","{'rh': 76.9, 'temp': 8.0, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",42.14,9.99,-1.4,11.79,13.56,11.98,578337433,76.9,MOD-00632,8.0,2026-01-02T01:16:53,2026-01-01T17:16:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578337282
438.62,629.87,"{'lat': None, 'lon': None}","{'rh': 76.9, 'temp': 8.0, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",41.42,10.64,-0.15,10.86,18.5,11.32,578337431,76.9,MOD-00632,8.0,2026-01-02T01:15:53,2026-01-01T17:15:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578337280
458.23,632.64,"{'lat': None, 'lon': None}","{'rh': 77.0, 'temp': 8.0, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",45.27,10.63,-1.53,12.47,17.02,12.7,578337432,77.0,MOD-00632,8.0,2026-01-02T01:14:53,2026-01-01T17:14:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578337281
459.87,635.65,"{'lat': None, 'lon': None}","{'rh': 77.0, 'temp': 8.0, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",46.27,10.63,-0.62,11.89,17.91,12.1,578337430,77.0,MOD-00632,8.0,2026-01-02T01:13:53,2026-01-01T17:13:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578337279
462.26,634.33,"{'lat': None, 'lon': None}","{'rh': 77.1, 'temp': 8.0, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",49.54,9.97,-0.96,12.8,14.58,12.91,578335567,77.1,MOD-00632,8.0,2026-01-02T01:12:53,2026-01-01T17:12:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578335415
461.1,632.4,"{'lat': None, 'lon': None}","{'rh': 77.0, 'temp': 8.0, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",46.83,9.98,-1.4,13.32,14.62,13.51,578335566,77.0,MOD-00632,8.0,2026-01-02T01:11:53,2026-01-01T17:11:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578335416
463.82,632.88,"{'lat': None, 'lon': None}","{'rh': 76.8, 'temp': 8.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",46.7,10.02,-0.03,13.88,14.92,14.17,578335565,76.8,MOD-00632,8.1,2026-01-02T01:10:53,2026-01-01T17:10:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578335414
468.33,634.33,"{'lat': None, 'lon': None}","{'rh': 76.8, 'temp': 8.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",50.77,11.34,-1.65,14.54,15.96,14.74,578335564,76.8,MOD-00632,8.1,2026-01-02T01:09:53,2026-01-01T17:09:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578335413
454.79,630.35,"{'lat': None, 'lon': None}","{'rh': 76.8, 'temp': 8.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",47.28,10.02,-1.4,14.82,16.55,15.27,578333759,76.8,MOD-00632,8.1,2026-01-02T01:08:53,2026-01-01T17:08:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578333608
448.57,630.96,"{'lat': None, 'lon': None}","{'rh': 76.9, 'temp': 8.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",44.75,10.01,-0.5,14.14,16.9,14.5,578333758,76.9,MOD-00632,8.1,2026-01-02T01:07:53,2026-01-01T17:07:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578333606
450.28,625.29,"{'lat': None, 'lon': None}","{'rh': 76.8, 'temp': 8.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",45.17,10.02,-0.49,14.62,15.27,14.72,578333760,76.8,MOD-00632,8.1,2026-01-02T01:06:53,2026-01-01T17:06:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578333609
421.98,625.17,"{'lat': None, 'lon': None}","{'rh': 76.8, 'temp': 8.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",40.02,10.02,-0.95,12.15,15.76,12.39,578333757,76.8,MOD-00632,8.1,2026-01-02T01:05:53,2026-01-01T17:05:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578333607
417.06,624.21,"{'lat': None, 'lon': None}","{'rh': 76.8, 'temp': 8.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",38.24,10.02,-0.49,10.63,11.56,10.81,578331943,76.8,MOD-00632,8.1,2026-01-02T01:04:53,2026-01-01T17:04:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578331792
413.78,624.81,"{'lat': None, 'lon': None}","{'rh': 76.8, 'temp': 8.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",37.89,10.66,-0.61,9.96,14.04,10.37,578331942,76.8,MOD-00632,8.1,2026-01-02T01:03:53,2026-01-01T17:03:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578331791
411.73,617.35,"{'lat': None, 'lon': None}","{'rh': 76.8, 'temp': 8.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",37.53,10.66,-1.07,10.74,12.01,10.97,578331944,76.8,MOD-00632,8.1,2026-01-02T01:02:53,2026-01-01T17:02:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578331793
405.99,623.73,"{'lat': None, 'lon': None}","{'rh': 76.8, 'temp': 8.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",36.47,10.02,-0.03,10.32,11.35,10.57,578331941,76.8,MOD-00632,8.1,2026-01-02T01:01:53,2026-01-01T17:01:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578331790
409.34,622.65,"{'lat': None, 'lon': None}","{'rh': 76.7, 'temp': 8.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",34.34,10.67,-1.52,10.26,11.07,10.49,578330130,76.7,MOD-00632,8.1,2026-01-02T01:00:53,2026-01-01T17:00:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578329979
412.69,623.85,"{'lat': None, 'lon': None}","{'rh': 76.6, 'temp': 8.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",37.88,10.03,-0.93,11.38,21.2,11.75,578330129,76.6,MOD-00632,8.1,2026-01-02T00:59:53,2026-01-01T16:59:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578329978
407.29,624.69,"{'lat': None, 'lon': None}","{'rh': 76.7, 'temp': 8.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",36.11,11.34,-1.18,10.53,13.4,10.87,578330128,76.7,MOD-00632,8.1,2026-01-02T00:58:53,2026-01-01T16:58:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578329977
427.12,626.62,"{'lat': None, 'lon': None}","{'rh': 76.5, 'temp': 8.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",39.3,10.04,-0.47,10.38,11.37,10.61,578330127,76.5,MOD-00632,8.1,2026-01-02T00:57:53,2026-01-01T16:57:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578329976
433.34,634.21,"{'lat': None, 'lon': None}","{'rh': 76.4, 'temp': 8.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",42.08,10.05,-1.37,11.4,13.87,11.63,578328318,76.4,MOD-00632,8.1,2026-01-02T00:56:53,2026-01-01T16:56:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578328167
434.34,628.19,"{'lat': None, 'lon': None}","{'rh': 76.3, 'temp': 8.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",43.05,11.4,-0.71,11.93,13.43,12.06,578328317,76.3,MOD-00632,8.2,2026-01-02T00:55:53,2026-01-01T16:55:53,https://api.quant-aq.com/v1/devices/MOD-00632/data/578328166
